date,title,duration,views,likes,comments
2022-09-12 17:00:00+00:00,Can Bryson DeChambeau Beat Us LEFT HANDED?,1227,364080,9441,827
2023-01-12 02:44:44+00:00,Which is it? Comment below #bobdoessports #shorts #shortsfeed,20,368397,6394,203
2023-01-27 20:46:10+00:00,THIS close to the first hole in one on the channel #goodgood #bobdoessports #shorts,28,78627,2121,39
2022-06-02 17:00:24+00:00,The Funniest Challenge We've Ever Done,932,535410,17155,1349
2022-08-23 17:00:34+00:00,We Heckled Golfers at the FedEx Cup! (HILARIOUS REACTIONS),482,400776,11021,523
2023-01-02 00:44:23+00:00,Clutch gene confirmed #bobdoessports #shortsfeed #shorts,28,33959,788,12
2023-02-16 18:00:23+00:00,Our Latest Round of Golf Went Completely Off the Rails!,1535,404839,12607,1527
2022-07-28 17:00:07+00:00,Can Fat Perez Finally Take Down Bobby Fairways and Joey Cold Cuts?,1525,490930,14871,1607
2023-01-15 01:26:22+00:00,Make a birdie and let the world know! #bobdoessports #shorts #shortsfeed,18,56782,1493,20
2022-10-06 17:00:06+00:00,Can We Play the Perfect Round of Golf? | Bob Does Sports,1513,413341,12153,1169
2023-01-31 00:55:03+00:00,It was never the hot sauce #bobdoessports #shorts,55,56344,1201,13
2022-09-22 17:00:21+00:00,Our Craziest Match Yet Came Down to the Wire! | Bob Does Sports,1618,456882,12264,1439
2022-11-15 18:00:18+00:00,Our Back and Forth Match Came Down to the Wire!,2057,391881,11651,968
2022-05-12 17:00:20+00:00,The Greatest Golf Meltdown in YouTube History,1166,816756,18254,1343
2022-09-01 17:00:00+00:00,Can Fat Perez Carry Us to Our New Course Record?,1314,413300,12934,1472
2022-12-07 00:49:37+00:00,Cutsy Became an Absolute Liability in Our Latest Drinking Challenge #shortsfeed #bobdoessports,36,50859,1188,41
2022-07-21 17:00:17+00:00,He Made the Greatest Shot in Bob Does Sports History | Match with Good Good,1864,575239,19914,961
2023-03-11 20:18:36+00:00,Absolutely special #bobdoessports #shorts #shortsfeed,12,62642,1699,11
2022-12-07 23:38:20+00:00,The Vibes Simply Cannot Be Beat #bobdoessports #shorts #shortsfeed,25,56679,1578,18
2022-11-17 18:00:11+00:00,WE HAVE A MAJOR ANNOUNCEMENT,1799,325202,9682,1944
2022-12-27 00:00:12+00:00,Grant Horvat and Micah Morris VS Bob Does Sports,1326,452401,18477,1260
2022-08-18 17:00:24+00:00,Bob Does Sports Vs Good Good Vs Nelk,1340,416229,12977,627
2022-11-10 18:00:00+00:00,His Big Mistake Led to a COMPLETE MELTDOWN | Bob Does Sports,2083,625741,16322,2790
2023-03-06 21:57:18+00:00,Our Brand New Competition Got Off To A Hot Start!,739,304528,8019,650
2022-10-17 17:00:32+00:00,The Most Intense Match in Bob Does Sports History!,1553,462337,16542,1050
2022-07-14 17:00:00+00:00,"Lose a Hole, Chug a Drink!",1490,598638,16317,1712
2022-10-27 17:00:28+00:00,Can We Take Down Fat Perez In One Of Our Best Matches Ever?,1681,414335,13244,1583
2022-08-25 20:40:46+00:00,We Challenged Bryson DeChambeau to a Match!,1470,452338,11270,1015
2022-12-01 18:00:09+00:00,Can We Shoot the Lowest Score in Bob Does Sports History?,1540,400178,16016,2243
2023-03-23 17:00:38+00:00,The Most Ridiculous Round Of Golf In History,2020,436953,16778,1887
2023-03-30 17:00:39+00:00,We Challenged The LPGA To A Match!,2353,241134,9276,816
2022-10-20 17:00:11+00:00,You Won't Believe How This Match Ended! | Bob Does Sports,1919,456852,17015,1484
2023-02-09 18:00:11+00:00,The Most Surprising Match in Bob Does Sports History,2296,447434,14964,2026
2023-01-31 18:00:32+00:00,Can We Break Our Course Record With Brand New Golf Clubs?,1837,455985,16694,2621
2022-12-10 00:07:58+00:00,🎶 I believe that we will pop 🎶 #shorts #bobdoessports #shortsfeed,13,33302,691,14
2022-12-29 18:00:00+00:00,We Challenged a Professional Golfer to a Nine Hole Match!,1786,407839,11945,1221
2022-12-14 21:51:23+00:00,Joey Cold Cuts Cannot Be Stopped #bobdoessports #shorts #shortsfeed,10,106013,1371,29
2022-02-17 18:00:14+00:00,HECKLING GOLFERS AT THE WASTE MANAGEMENT (HILARIOUS REACTION),484,442482,11341,439
2022-01-13 18:00:22+00:00,I Challenged My Best Friend To A $1K Golf Match,891,443240,10538,587
2022-06-30 17:00:36+00:00,We Took on the Fore Play Pod in an 18 Hole Match! (Featuring JJ Watt),3362,885428,17178,1581
2022-08-11 17:00:17+00:00,The Most Outrageous Match We’ve Ever Had,1438,727950,18693,1171
2022-09-29 17:00:03+00:00,Our New Drinking Game Led to Chaos!,1852,613556,18501,1696
2023-03-16 17:00:38+00:00,The First Time We've Ever Tried This!,2261,467366,14877,1229
2023-03-02 18:00:11+00:00,NFL Star Challenged Us To A Match!,2301,453433,13237,1160
2022-01-27 18:00:12+00:00,"If You Lose, You're FIRED",810,241141,6450,458
2022-11-03 23:00:08+00:00,The Greatest Golf Match in YouTube History (Bob Does Sports vs Max Homa),4003,1383871,38656,3848
2023-01-20 00:00:07+00:00,We Challenged Keegan Bradley To An 18 Hole Match!,4345,916570,20820,2583
2023-02-23 18:00:04+00:00,Can We Beat a PGA Tour Pro in an 18 Hole Match?,3101,654601,14521,1486
2021-10-29 13:00:16+00:00,MR. EXCUSES #Shorts,32,34244,1364,19
2021-12-23 18:00:08+00:00,Our Worst Ball Scramble Challenge Led To Chaos!,625,401446,8596,343
2022-03-03 18:00:19+00:00,Every Single Shot From One of My Best Rounds Ever | Chasing Par,898,160594,5680,1330
2021-12-28 13:00:25+00:00,Do NOT breathe before a Joey Cold Cuts golf shot #shorts #bobdoessports,31,166101,3868,49
2021-10-28 17:00:00+00:00,The Back Nine Debacle | Can Bobby Fairways Beat Joey Cold Cuts? (Part 2),746,203005,3813,182
2021-11-12 12:30:05+00:00,Did Patrick Cantlay just shush me?? #shorts #bobdoessports,24,19473,312,5
2022-01-06 18:00:17+00:00,Chasing Par: Can Bobby Fairways Break 45 on the Front Nine at Wickenburg Ranch?,992,180802,7971,475
2021-10-26 18:52:43+00:00,"5 “no range” in this clip, can you catch any more in the full episode?",32,7964,168,3
2021-11-01 19:13:04+00:00,Heckling Golfers At The Ryder Cup #Shorts,53,348679,11606,85
2021-11-20 08:00:20+00:00,Pizza Pete is a national treasure #shorts #bobdoesports,58,831762,32952,887
2021-11-16 13:00:05+00:00,Bills fans are simply built different #shorts #bobdoessports,43,8704,124,3
2021-10-30 13:00:01+00:00,Every Golfer Has Had This Convo #Shorts,54,98230,3312,36
2021-12-30 13:00:00+00:00,Why is Cutsy always running #shorts #bobdoessports,23,78980,1616,27
2021-12-10 11:00:34+00:00,Joey Cold Cuts was NOT happy #shorts #bobdoessports,28,36379,888,17
2022-03-17 17:00:31+00:00,Can 2 Hacks Beat a Scratch Golfer? (EPIC FINISH),1209,492184,14574,992
2022-02-10 18:00:30+00:00,Winner Gets $5K and a Trip to Pebble Beach! | Match #2,804,291350,8909,675
2021-11-14 12:30:02+00:00,Is Joey Cold Cuts beefing with the IRS #shorts #bobdoessports,57,162507,6477,58
2021-11-19 13:00:25+00:00,No words to describe this Bills fan #shorts #bobdoessports,28,9551,97,0
2022-01-07 12:30:01+00:00,Joe Cold Cuts was HAMMERED during the 18 beer challenge #shorts #bobdoessports,25,210955,4166,31
2022-02-24 18:00:11+00:00,OUR REVENGE MATCH GOT SLOPPY,887,315483,7780,958
2021-12-12 13:00:06+00:00,horror show #shorts #bobdoessports,19,26929,458,10
2021-11-13 12:30:07+00:00,Duty Calls #shorts #bobdoessports,29,16777,324,4
2021-11-21 13:00:32+00:00,Matty Rigatoni tore up Buffalo #shorts #bobdoessports,36,10934,115,3
2021-10-07 16:00:07+00:00,Can George Gankas Fix My Horrible Golf Swing?,717,95606,2156,113
2021-11-25 13:15:05+00:00,ole miss tent run #shorts #bobdoessports,55,51490,1331,7
2021-09-30 15:56:19+00:00,Episode 1: The Ryder Cup,689,198606,4049,175
2021-12-02 12:00:21+00:00,Swing and a miss #shorts #bobdoessports,26,71660,1364,81
2022-02-03 18:00:25+00:00,Can We Finish 18 Fireball Shots in Nine Holes of Golf?,948,1466204,30650,2068
2021-10-25 22:34:07+00:00,"WHAT, DAD??!?! Have you checked out the full Ryder Cup episode yet?!",27,18955,264,3
2021-12-16 18:00:16+00:00,I Refereed the Most Absurd Wrestling Match of All Time,443,28825,1140,82
2021-11-05 13:00:08+00:00,Braves fans were HYPED #shorts,24,6859,82,0
2021-12-29 13:00:31+00:00,Juice Cleanse or Taco Bell #shorts #bobdoessports,14,71585,1331,8
2021-11-02 20:25:11+00:00,Atlanta Was ROCKING For Game 3 Of The World Series | Bob Does Sports,456,32875,1165,76
2021-11-07 14:00:22+00:00,The World Series atmosphere #shorts,25,5700,68,0
2021-11-09 14:00:20+00:00,Don't Disrespect The Sun Chips #shorts,13,11338,159,9
2021-12-01 12:00:13+00:00,Rate Joey Cold Cuts' fit #shorts #bobdoessports,23,31321,544,27
2022-01-20 18:00:09+00:00,Can I Shoot Par At The Nicest Course In Arizona? | Chasing Par Episode 2,804,132683,5123,543
2022-03-24 17:00:20+00:00,HE LOST HIS MIND DURING OUR GOLF MATCH (MELTDOWN),1045,478932,10253,919
2021-12-11 12:00:24+00:00,The moment Cold Cuts realized he'd been pranked #shorts #bobdoessports,31,28726,682,10
2021-11-18 13:00:20+00:00,Jesus...confirmed Bills fan #shorts #bobdoessports,24,8823,190,6
2021-11-17 13:00:23+00:00,before we die #shorts #bobdoessports,27,8165,113,3
2021-12-02 18:00:15+00:00,The Fastest Golf Hole Ever Played,461,141302,4999,260
2022-03-31 17:00:35+00:00,Can We Finish 18 Hot Dogs in Nine Holes of Golf?,1261,638878,16558,1416
2021-10-26 17:00:12+00:00,Can Bobby Fairways Beat Joey Cold Cuts? (Part 1),1161,285443,4397,296
2021-12-30 18:00:03+00:00,Can We Finish 18 Beers in Nine Holes of Golf?,919,830210,24535,1312
2022-01-06 12:30:07+00:00,Introducing the Lip Out King #shorts #bobdoessports,17,56624,1060,30
2021-12-20 12:00:31+00:00,Little plunger to the stomach never hurt nobody #shorts #bobdoessports,19,28742,325,5
2021-10-26 18:50:48+00:00,Starting strong - new episode out now!,31,8651,178,1
2021-11-15 12:30:16+00:00,The barefoot golf lesson is a power move #shorts #bobdoessports,14,11921,190,1
2021-11-30 12:00:09+00:00,cold cuts chip #shorts #bobdoessports,55,243622,5647,88
2021-11-11 18:00:31+00:00,WE JUMPED THROUGH A TABLE AT BILLS MAFIA | Bob Does Sports,486,43427,1151,73
2021-10-21 16:00:04+00:00,MLB Pitcher Recognized Me Mid-Game!,812,39855,946,69
2021-11-23 13:30:05+00:00,HOTTY TODDY #shorts #bobdoessports,44,16443,184,1
2022-01-05 12:30:16+00:00,adversity strikes during the 18 beer challenge #shorts #bobdoessports,45,59514,1381,26
2021-12-18 12:30:01+00:00,Don't mess with ref Bob! #shorts #bobdoessports,21,25029,389,3
2021-11-18 18:00:30+00:00,We Snuck Onto the Sideline at Ole Miss,564,163697,4227,317
2022-03-10 18:00:21+00:00,I Heckled Golfers Again and the Reactions Were Priceless,600,382058,11205,495
2021-12-09 18:00:16+00:00,I Pranked My Friend Into Playing the Worst Golf Course in America,761,1820976,43458,2424
2021-10-14 16:00:12+00:00,RAIDERS TAILGATE AND THE VEGAS STRIP,830,50090,1287,88
2021-11-22 17:37:24+00:00,Bobby Sidelines #shorts #bobdoessports,36,13620,283,1
2021-11-29 19:48:22+00:00,Club Selection is Key #shorts #bobdoessports,34,18783,452,4
2022-01-08 12:30:02+00:00,When you put it to 2 feet #shorts #bobdoessports,12,127370,2706,39
2021-11-08 14:30:09+00:00,Roll Tide.. And Braves #shorts,12,8347,92,4
2021-11-10 17:25:46+00:00,Dodger Dog Review #shorts #bobdoessports,38,10807,139,2
2021-12-06 21:55:14+00:00,WHERE'S THE BALL!  #shorts #bobdoessports,37,17179,253,1
2021-11-24 14:00:28+00:00,Is The Grove The Coolest Place on Earth?? #shorts #bobdoessports,24,14796,126,1
2021-12-13 12:30:11+00:00,Just guys being dudes #shorts #bobdoessports,50,54992,1554,29
2021-11-11 12:30:04+00:00,Bobby mushrooms?? #shorts #bobdoessports,54,10393,162,2
2021-11-06 13:30:19+00:00,Chaos pregame in Atlanta! #shorts,28,5016,52,0
2021-11-26 13:00:22+00:00,Rebs By A Million #shorts #bobdoessports,16,16212,159,3
2021-11-04 13:00:27+00:00,🎵 Goodbye Norma Jean 🎵 #shorts,20,8264,76,3
2021-12-17 19:37:39+00:00,Backstage with the fighters #shorts #bobdoessports,37,21715,286,3
