date,title,duration,views,likes,comments
2021-09-08 01:27:15+00:00,INSANE Texas 3v3 Scramble Stumps VS Twigs | Good Good,1548,514216,18722,868
2021-06-30 05:00:26+00:00,3v3 Scramble @ The Most Famous Golf Holes In Europe | Good Good,1514,455009,9898,589
2021-03-07 18:41:06+00:00,Crazy Mini Golf Knockout Challenge | Good Good,1012,547332,12994,448
2021-08-22 17:19:52+00:00,World's First 7 Man Alt Shot | Good Good Golf,1243,385531,14593,892
2021-12-10 04:00:23+00:00,The Play-off | Team Twigs Vs. Team Stumps Tournament Tie-breaker | Good Good,1034,371079,12595,606
2022-01-21 03:54:40+00:00,Some Of The Craziest Golf We Have Played Yet! | Stumps Vs. Twigs Money Match | Part 1,1764,789756,20013,1888
2021-10-13 04:23:27+00:00,EPIC 3v3 Battle Golf Challenge | Good Good,1696,615238,17527,1014
2021-09-05 17:00:36+00:00,1v1 Bracket Elimination Golf Challenge #5 | Good Good,1702,515251,29210,854
2022-01-19 01:01:21+00:00,7 Man Knockout Golf Challenge Feat. Celebrity Guest! | Good Good,1581,536274,15149,1069
2021-05-02 17:13:50+00:00,4 High School Golfers Challenged Us To A Match...,1507,1133957,20283,932
2021-09-22 05:16:49+00:00,The First Time This Has Happened in Good Good! | 2v2v2 Scramble,2274,1014571,19052,1092
2020-11-20 02:03:20+00:00,#1 Long Driver Hits Our Tee Shots | 7 Man Scramble,1051,618254,11990,563
2021-01-06 00:54:02+00:00,Golfers React to Worst GOLF Fails of 2020,580,724487,16018,421
2021-06-20 17:00:23+00:00,Closest to The Pin Knockout Golf Challenge!,587,228248,8461,415
2022-02-28 05:21:50+00:00,Random 1 Club KnockOut Golf Challenge | Good Good,1622,865023,23262,1121
2021-07-23 00:00:39+00:00,Intense Kansas City Knockout Golf Challenge | Good Good,1849,716671,13829,884
2022-02-25 04:14:44+00:00,Who Takes The Win?! | 3v3 18 Hole Battle Of Destiny | Part 3,1660,495813,19848,1206
2021-10-27 02:04:05+00:00,GOLF But 1 Person is An Infected Zombie...,1919,625064,17879,2248
2020-09-24 22:45:07+00:00,EPIC Knockout Golf Challenge | Good Good,1149,458595,18080,844
2020-12-02 00:57:12+00:00,Insane 2v2 Mini Golf Worst Ball Scramble | Good Good,1256,649789,11800,440
2021-08-18 04:20:09+00:00,The FINAL Knockout Golf Challenge Of Good Good Week Kansas!,1723,538144,13433,768
2021-10-20 04:35:12+00:00,"$10,000 Hole In One Challenge | Good Good",1088,357261,11476,795
2021-08-15 18:18:38+00:00,We Played @ The Hardest Mini Golf Course in Kansas | 2v2v2 Match | Good Good,1205,1585953,22666,748
2021-05-20 23:56:03+00:00,Playing Among Us on a Golf Course *In Real Life*,1555,536838,11956,623
2020-12-11 14:00:07+00:00,Good Good 14 Club Challenge!,928,395660,11150,522
2021-12-29 01:18:51+00:00,Good Good Goes to California!! | 1v1 Bracket Elimination Challenge,1487,604123,15121,797
2022-03-02 03:35:20+00:00,Back To The OG Match-Ups | 1v1 Bracket Elimination Challenge,1346,405507,13738,735
2021-06-24 19:14:11+00:00,1v1 Bracket Elimination Golf Challenge | Good Good,1571,589403,19307,1378
2021-05-01 02:47:11+00:00,Trackman Horse at the Driving Range,1494,558150,11267,445
2021-10-24 18:22:33+00:00,The FINAL 3v3 Scramble in Branson | Good Good,1830,604988,16520,971
2021-05-16 18:37:42+00:00,2v3 Scramble | Garrett & Matt Vs. Tig Steve & Bubbie,1434,337120,7982,447
2021-04-16 03:16:17+00:00,2v2 Random Club Challenge W/ PGA Pro Joel Dahmen,1536,404033,8191,467
2021-08-13 01:09:01+00:00,CRAZY 3v3 Scramble Stumps VS Twigs | Good Good,1793,661446,15002,1037
2021-02-03 01:54:51+00:00,Good Good Driver Only Challenge,1698,775708,11729,700
2022-03-13 23:10:56+00:00,We Play Golf But Our Caddies Are BlindFolded | Good Good,2726,976706,23476,1734
2021-08-04 03:07:56+00:00,We Destroyed Random Stuff With Golf Balls... Good Good,1190,291108,8675,454
2021-11-10 16:52:59+00:00,Fortnite Meets Golf | Battle Royale Golf Challenge | Good Good,1725,547936,29098,720
2021-06-18 04:52:33+00:00,THE REMATCH | 2v2v2 Stroke Play @ Las Vegas Desert Course,2233,1403727,29529,1112
2022-03-06 20:42:30+00:00,2v2v2 @ Hardest Course On The PGA Tour | Good Good,2086,1087538,21918,1261
2021-05-27 23:30:02+00:00,"2v3 Scramble | Garrett & Grant VS Bubbie, Tig & Stephen",1188,360222,11100,658
2021-05-18 23:58:24+00:00,Playing Golf with MASSIVE HOLES | 2v2 Scramble,661,383291,8597,362
2020-12-13 19:00:54+00:00,Good Good Plays America's Greatest Golf Holes | 6 Man Scramble | PART 1,1663,460440,15337,800
2021-03-26 03:44:19+00:00,We Played A 3v3 Match @ The Longest Course in Florida | Part 2/3,1691,427167,7846,719
2021-11-07 15:53:30+00:00,"3v3 18 Hole Scramble | THE $5,000 MATCH | Part 3",1816,710568,14781,770
2021-01-20 04:31:12+00:00,Up & Down Knockout Golf Challenge | Good Good,1008,228121,9726,416
2021-04-18 19:25:41+00:00,"They Challenged Us To A Golf Match for $5,000...",2099,957181,17518,959
2021-04-21 01:28:44+00:00,EPIC 2v2 Scramble  | Tig & Bubbie VS Garrett & Matt,1530,413601,10126,794
2020-12-30 01:36:07+00:00,Good Good Wii Golf Championship | Part 2/2,1298,285350,7491,423
2022-03-11 00:06:21+00:00,We Played The Hardest Golf Holes On The PGA Tour | Knockout Challenge,1727,728762,19505,810
2021-05-07 00:32:12+00:00,Good Good Plays a 4 Man Scramble at The Greatest Holes in America,1037,273227,8372,505
2021-09-17 02:51:36+00:00,Good Good's First 7 Man Knockout Golf Challenge!,2384,1258917,20207,1268
2020-10-02 13:54:50+00:00,Most Epic Golf Course In Mexico?! | 3v3 Scramble | Good Good,1873,694476,15562,1111
2021-12-29 01:18:51+00:00,Good Good Goes to California!! | 1v1 Bracket Elimination Challenge,1487,604123,15121,797
2020-12-16 02:42:24+00:00,Good Good Plays America's Greatest Golf Holes | PART 2 | 6 Man Scramble,1358,385398,10376,766
2021-04-28 01:25:35+00:00,Good Good Among Us Golf Challenge,1452,701247,18081,1027
2021-10-24 18:22:33+00:00,The FINAL 3v3 Scramble in Branson | Good Good,1830,604988,16520,971
2020-11-09 01:55:33+00:00,INTENSE Knockout Golf Challenge | Good Good,1229,311434,13533,636
2021-10-03 17:40:27+00:00,3v3 18 Hole Scramble | Tiger Woods Course Payne's Valley | Part 3,1929,1052786,22787,879
2020-12-30 01:36:07+00:00,Good Good Wii Golf Championship | Part 2/2,1298,285350,7491,423
